ID,startval,alpha,N,Delta,time
30741,2,1.00E-06,512,4,0.44826078414917
30742,2,1.00E-06,512,2,0.232486724853516
30743,2,1.00E-06,512,1,1.68798923492432
30744,2,1.00E-06,512,64,1.88207316398621
30745,2,1.00E-06,512,64,1.97801566123962
30746,2,1.00E-06,512,64,1.53484559059143
30747,2,1.00E-06,512,64,0.0913405418396
30748,2,1.00E-06,512,32,1.01508903503418
30749,2,1.00E-06,512,16,4.47740912437439
30750,2,1.00E-07,256,16,0.022289752960205
30751,2,1.00E-06,512,8,3.49989318847656
30752,2,1.00E-06,512,64,0.36037015914917
30753,2,1.00E-06,512,32,0.135542154312134
30754,2,1.00E-06,512,16,0.032355785369873
30755,2,1.00E-06,512,8,0.032395601272583
30756,2,1.00E-06,512,4,0.032541036605835
30757,2,1.00E-06,512,64,0.147364139556885
30758,2,1.00E-06,512,32,1.06456851959229
30759,2,1.00E-06,512,16,0.27730655670166
30760,2,1.00E-06,512,8,0.238684415817261
30761,2,1.00E-07,256,8,0.023911476135254
30762,2,1.00E-06,512,64,1.6997435092926
30763,2,1.00E-06,512,32,1.68023347854614
30764,2,1.00E-06,512,16,0.044825553894043
30765,2,1.00E-06,512,8,0.031799793243408
30766,2,1.00E-06,512,4,0.03285026550293
30767,2,1.00E-06,512,64,3.64369177818298
30768,2,1.00E-06,512,32,2.54079937934875
30769,2,1.00E-06,512,16,0.991338968276978
30770,2,1.00E-06,512,8,1.18284320831299
30771,2,1.00E-06,512,4,0.3485426902771
30772,2,1.00E-07,256,4,0.020401000976563
30773,2,1.00E-06,512,2,0.32117223739624
30774,2,1.00E-06,512,64,2.26593565940857
30775,2,1.00E-06,512,64,0.294771909713745
30776,2,1.00E-06,512,32,2.49704766273499
30777,2,1.00E-06,512,16,4.3890643119812
30778,2,1.00E-06,512,8,0.543780326843262
30779,2,1.00E-06,512,4,0.202466011047363
30780,2,1.00E-06,512,64,0.470006942749023
30781,2,1.00E-06,512,32,2.74603843688965
30782,2,1.00E-06,512,16,0.585012435913086
30783,2,1.00E-07,256,32,0.017914295196533
30784,2,1.00E-06,512,8,0.189045190811157
30785,2,1.00E-06,512,4,0.102343797683716
30786,2,1.00E-06,512,2,0.048067569732666
30787,2,1.00E-06,512,1,1.4953076839447
30788,2,1.00E-06,512,64,0.149951696395874
30789,2,1.00E-06,512,32,2.60212063789368
30790,2,1.00E-06,512,16,0.367546081542969
30791,2,1.00E-06,512,8,0.179968357086182
30792,2,1.00E-06,512,4,0.184840440750122
30793,2,1.00E-06,512,64,0.705465793609619
30794,2,1.00E-07,256,16,0.016325712203979
30795,2,1.00E-06,512,32,1.38274788856506
30796,2,1.00E-06,512,16,0.062495231628418
30797,2,1.00E-06,512,8,0.041391372680664
30798,2,1.00E-06,512,4,0.033999681472778
30799,2,1.00E-06,512,64,3.0800621509552
30800,2,1.00E-06,512,32,4.31748080253601
30801,2,1.00E-06,512,16,0.439569234848022
30802,2,1.00E-06,512,8,0.294352531433105
30803,2,1.00E-06,512,4,0.174383401870727
30804,2,1.00E-06,512,2,0.087746381759644
30805,2,1.00E-07,256,8,0.015432119369507
30806,2,1.00E-06,512,64,2.29461693763733
30807,2,1.00E-06,512,64,1.57098484039307
30808,2,1.00E-06,512,64,1.59577941894531
30809,2,1.00E-06,512,32,2.19171142578125
30810,2,1.00E-06,512,16,0.091756820678711
30811,2,1.00E-06,512,8,0.031500101089478
30812,2,1.00E-06,512,4,0.032468318939209
30813,2,1.00E-06,512,64,2.93180727958679
30814,2,1.00E-06,512,32,2.4332218170166
30815,2,1.00E-06,512,64,2.19664597511291
30816,2,1.00E-07,256,4,0.018444776535034
30817,2,1.00E-06,512,32,2.69582748413086
30818,2,1.00E-06,512,16,0.048816442489624
30819,2,1.00E-06,512,8,0.032051563262939
30820,2,1.00E-06,512,4,0.032353162765503
30821,2,1.00E-06,512,64,0.257734298706055
30822,2,1.00E-06,512,32,0.699885845184326
30823,2,1.00E-06,512,16,1.8659975528717
30824,2,1.00E-06,512,8,0.583333492279053
30825,2,1.00E-06,512,4,0.406683683395386
30826,2,1.00E-06,512,2,0.257124423980713
30827,2,1.00E-07,256,2,0.016056776046753
30828,2,1.00E-06,512,1,1.61967849731445
30829,2,1.00E-06,512,64,0.195421934127808
30830,2,1.00E-06,512,64,2.03320240974426
30831,2,1.00E-06,512,64,0.581393957138062
30832,2,1.00E-06,512,32,2.33029818534851
30833,2,1.00E-06,512,16,0.09663200378418
30834,2,1.00E-06,512,8,0.032228708267212
30835,2,1.00E-06,512,64,1.99853897094727
30836,2,1.00E-06,512,32,4.46145439147949
30837,2,1.00E-06,512,16,0.397903919219971
30838,2,1.00E-07,256,32,0.017299652099609
30839,2,1.00E-06,512,8,0.296514749526977
30840,2,1.00E-06,512,4,0.150839805603027
30841,2,1.00E-06,512,64,1.15979242324829
30842,2,1.00E-06,512,32,0.726931810379028
30843,2,1.00E-06,512,64,0.090876340866089
30844,2,1.00E-06,512,32,2.10632061958313
30845,2,1.00E-06,512,16,3.03210711479187
30846,2,1.00E-06,512,8,3.82287263870239
30847,2,1.00E-06,512,64,0.362516403198242
30848,2,1.00E-06,512,32,2.85388565063477
30849,2,1.00E-07,256,32,0.017016887664795
30850,2,1.00E-06,512,16,4.5536003112793
30851,2,1.00E-06,512,8,0.390049695968628
30852,2,1.00E-06,512,64,0.488781213760376
30853,2,1.00E-06,512,32,2.81865930557251
30854,2,1.00E-06,512,16,0.676675081253052
30855,2,1.00E-06,512,8,0.057790517807007
30856,2,1.00E-06,512,4,0.062613248825073
30857,2,1.00E-06,512,64,0.480801820755005
30858,2,1.00E-06,512,32,0.722095251083374
30859,2,1.00E-06,512,16,0.498430252075195
30860,2,1.00E-07,256,32,0.033977031707764
30861,2,1.00E-06,512,8,0.408443450927734
30862,2,1.00E-06,512,4,0.093029022216797
30863,2,1.00E-06,512,2,0.080622673034668
30864,2,1.00E-06,512,64,0.206398725509643
30865,2,1.00E-06,512,32,1.10964703559875
30866,2,1.00E-06,512,16,0.137527704238892
30867,2,1.00E-06,512,8,0.117821455001831
30868,2,1.00E-06,512,4,0.045547008514404
30869,2,1.00E-06,512,64,4.68965172767639
30870,2,1.00E-06,512,32,0.388416290283203
30871,2,1.00E-07,256,16,0.02159857749939
30872,2,1.00E-06,512,16,0.531029939651489
30873,2,1.00E-06,512,8,0.864445447921753
30874,2,1.00E-06,512,4,0.282647609710693
30875,2,1.00E-06,512,2,0.241155624389648
30876,2,1.00E-06,512,1,2.12970972061157
30877,2,1.00E-06,512,64,1.68924355506897
30878,2,1.00E-06,512,32,1.33583402633667
30879,2,1.00E-06,512,16,3.4452691078186
30880,2,1.00E-06,512,64,0.843536376953125
30881,2,1.00E-06,512,32,0.368880987167358
30882,2,1.00E-07,256,8,0.015344858169556
30883,2,1.00E-06,512,16,0.561603546142578
30884,2,1.00E-06,512,8,0.198890447616577
30885,2,1.00E-06,512,4,0.093389272689819
30886,2,1.00E-06,512,64,2.62292742729187
30887,2,1.00E-06,512,32,1.18092799186707
30888,2,1.00E-06,512,16,0.786697864532471
30889,2,1.00E-06,512,8,0.126649856567383
30890,2,1.00E-06,512,4,0.124684810638428
30891,2,1.00E-06,512,2,0.049158334732056
30892,2,1.00E-06,512,1,1.5398120880127
30893,2,1.00E-07,256,4,0.020881414413452
30894,2,1.00E-06,512,64,0.500911235809326
30895,2,1.00E-06,512,64,0.431301593780518
30896,2,1.00E-06,512,32,0.786463260650635
30897,2,1.00E-06,512,16,0.424664497375488
30898,2,1.00E-06,512,8,0.306041479110718
30899,2,1.00E-06,512,4,0.104060888290405
30900,2,1.00E-06,512,64,0.509346961975098
30901,2,1.00E-06,512,32,1.81560873985291
30902,2,1.00E-06,512,16,0.183199644088745
30903,2,1.00E-06,512,8,0.04533576965332
30904,2,1.00E-07,256,2,0.037261724472046
