Inst,alpha,N,Delta,time
newinstances/instance0_11519.npz,9.999999999999999e-05,1024,128,0.7442960739135742
newinstances/instance0_11520.npz,9.999999999999999e-05,1024,64,0.04403209686279297
newinstances/instance0_11521.npz,9.999999999999999e-05,1024,32,0.03931236267089844
newinstances/instance0_11522.npz,9.999999999999999e-05,1024,16,2.6046855449676514
newinstances/instance0_11523.npz,9.999999999999999e-05,1024,8,0.03855776786804199
newinstances/instance0_11524.npz,9.999999999999999e-05,1024,4,0.038733720779418945
newinstances/instance0_11525.npz,9.999999999999999e-05,1024,2,0.2523515224456787
newinstances/instance0_11526.npz,9.999999999999999e-05,1024,128,0.5022745132446289
newinstances/instance0_11527.npz,9.999999999999999e-05,1024,128,1.6240108013153076
newinstances/instance0_11528.npz,9.999999999999999e-05,1024,128,1.8877778053283691
newinstances/instance0_11529.npz,9.999999999999999e-05,1024,128,0.1782665252685547
newinstances/instance0_11530.npz,9.999999999999999e-05,1024,64,4.065040826797485
newinstances/instance0_11531.npz,9.999999999999999e-05,1024,128,2.523179531097412
newinstances/instance0_11532.npz,9.999999999999999e-05,1024,64,3.840078115463257
newinstances/instance0_11533.npz,9.999999999999999e-05,1024,128,1.0078885555267334
newinstances/instance0_11534.npz,9.999999999999999e-05,1024,64,1.8535974025726318
newinstances/instance0_11535.npz,9.999999999999999e-05,1024,32,0.6381728649139404
newinstances/instance0_11536.npz,9.999999999999999e-05,1024,16,0.7749605178833008
newinstances/instance0_11537.npz,9.999999999999999e-05,1024,8,0.4112203121185303
newinstances/instance0_11538.npz,9.999999999999999e-05,1024,128,1.7251193523406982
newinstances/instance0_11539.npz,9.999999999999999e-05,1024,64,3.8641886711120605
newinstances/instance0_11540.npz,9.999999999999999e-05,1024,32,0.7166669368743896
newinstances/instance0_11541.npz,9.999999999999999e-05,1024,16,0.46602487564086914
newinstances/instance0_11542.npz,9.999999999999999e-05,1024,8,0.4338972568511963
newinstances/instance0_11543.npz,9.999999999999999e-05,1024,4,0.15883469581604004
newinstances/instance0_11544.npz,9.999999999999999e-05,1024,128,0.4378037452697754
newinstances/instance0_11545.npz,9.999999999999999e-05,1024,64,1.1129910945892334
newinstances/instance0_11546.npz,9.999999999999999e-05,1024,32,0.716172456741333
newinstances/instance0_11547.npz,9.999999999999999e-05,1024,16,0.3437666893005371
newinstances/instance0_11548.npz,9.999999999999999e-05,1024,8,0.8504619598388672
newinstances/instance0_11549.npz,9.999999999999999e-05,1024,4,0.14714431762695312
newinstances/instance0_11550.npz,9.999999999999999e-05,1024,2,0.22360491752624512
newinstances/instance0_11551.npz,9.999999999999999e-05,1024,1,1.3460392951965332
newinstances/instance0_11552.npz,9.999999999999999e-05,1024,128,1.5434818267822266
newinstances/instance0_11553.npz,9.999999999999999e-05,1024,64,1.035447120666504
newinstances/instance0_11554.npz,9.999999999999999e-05,1024,32,0.7306156158447266
newinstances/instance0_11555.npz,9.999999999999999e-05,1024,16,0.3412282466888428
newinstances/instance0_11556.npz,9.999999999999999e-05,1024,8,0.2747480869293213
newinstances/instance0_11557.npz,9.999999999999999e-05,1024,4,0.24105048179626465
newinstances/instance0_11558.npz,9.999999999999999e-05,1024,2,0.3521885871887207
newinstances/instance0_11559.npz,9.999999999999999e-05,1024,128,0.4078037738800049
newinstances/instance0_11560.npz,9.999999999999999e-05,1024,64,0.7139148712158203
newinstances/instance0_11561.npz,9.999999999999999e-05,1024,32,0.5242185592651367
newinstances/instance0_11562.npz,9.999999999999999e-05,1024,16,0.4661214351654053
newinstances/instance0_11563.npz,9.999999999999999e-05,1024,8,0.7048819065093994
newinstances/instance0_11564.npz,9.999999999999999e-05,1024,4,0.1460249423980713
newinstances/instance0_11565.npz,9.999999999999999e-05,1024,2,0.28292059898376465
newinstances/instance0_11566.npz,9.999999999999999e-05,1024,1,1.3542430400848389
newinstances/instance0_11567.npz,9.999999999999999e-05,1024,128,0.665269136428833
newinstances/instance0_11568.npz,9.999999999999999e-05,1024,64,3.6322858333587646
newinstances/instance0_11569.npz,9.999999999999999e-05,1024,32,0.7724168300628662
newinstances/instance0_11570.npz,9.999999999999999e-05,1024,16,0.33817386627197266
newinstances/instance0_11571.npz,9.999999999999999e-05,1024,8,0.28850889205932617
newinstances/instance0_11572.npz,9.999999999999999e-05,1024,4,0.23435473442077637
newinstances/instance0_11573.npz,9.999999999999999e-05,1024,2,0.2723696231842041
newinstances/instance0_11574.npz,9.999999999999999e-05,1024,1,1.3604011535644531
newinstances/instance0_11575.npz,9.999999999999999e-05,1024,0,0.013894796371459961
newinstances/instance0_11811.npz,1,1024,128,0.12039685249328613
newinstances/instance0_11812.npz,1,1024,128,0.05166745185852051
newinstances/instance0_11813.npz,1,1024,128,1.205857276916504
newinstances/instance0_11814.npz,1,1024,128,1.4530284404754639
newinstances/instance0_11815.npz,1,1024,64,3.744053840637207
newinstances/instance0_11816.npz,1,1024,128,0.06655454635620117
newinstances/instance0_11817.npz,1,1024,128,1.483426570892334
newinstances/instance0_11818.npz,1,1024,64,0.2393653392791748
newinstances/instance0_11819.npz,1,1024,128,2.7446653842926025
newinstances/instance0_11820.npz,1,1024,64,0.8107829093933105
newinstances/instance0_11821.npz,1,1024,128,0.9395279884338379
newinstances/instance0_11822.npz,1,1024,64,1.5866506099700928
newinstances/instance0_11823.npz,1,1024,128,1.4626123905181885
newinstances/instance0_11824.npz,1,1024,64,1.0486085414886475
newinstances/instance0_11825.npz,1,1024,128,1.3456175327301025
newinstances/instance0_11826.npz,1,1024,64,0.7545521259307861
newinstances/instance0_11827.npz,1,1024,128,0.675710916519165
newinstances/instance0_11828.npz,1,1024,64,1.018073558807373
newinstances/instance0_11829.npz,1,1024,128,1.8910298347473145
newinstances/instance0_11830.npz,1,1024,64,1.0086684226989746
newinstances/instance0_11831.npz,1,1024,128,1.492971420288086
newinstances/instance0_11832.npz,1,1024,64,1.4209003448486328
newinstances/instance0_11833.npz,1,1024,32,0.7507610321044922
newinstances/instance0_11834.npz,1,1024,128,1.728910207748413
newinstances/instance0_11835.npz,1,1024,64,2.0438308715820312
newinstances/instance0_11836.npz,1,1024,32,1.3968751430511475
newinstances/instance0_11837.npz,1,1024,16,0.833324670791626
newinstances/instance0_11838.npz,1,1024,128,0.5512950420379639
newinstances/instance0_11839.npz,1,1024,64,1.5776607990264893
newinstances/instance0_11840.npz,1,1024,32,0.8376502990722656
newinstances/instance0_11841.npz,1,1024,128,1.0901663303375244
newinstances/instance0_11842.npz,1,1024,64,1.853987693786621
newinstances/instance0_11843.npz,1,1024,128,0.37313199043273926
newinstances/instance0_11844.npz,1,1024,64,1.4085156917572021
newinstances/instance0_11845.npz,1,1024,32,0.6694042682647705
newinstances/instance0_11846.npz,1,1024,16,0.21123909950256348
newinstances/instance0_11847.npz,1,1024,128,2.5268096923828125
newinstances/instance0_11848.npz,1,1024,64,1.2992408275604248
newinstances/instance0_11849.npz,1,1024,32,0.8355405330657959
newinstances/instance0_11850.npz,1,1024,16,0.6906270980834961
newinstances/instance0_11851.npz,1,1024,8,0.4050912857055664
newinstances/instance0_11852.npz,1,1024,128,0.3803598880767822
newinstances/instance0_11853.npz,1,1024,64,1.1799235343933105
newinstances/instance0_11854.npz,1,1024,128,0.45043277740478516
newinstances/instance0_11855.npz,1,1024,64,0.8550286293029785
newinstances/instance0_11856.npz,1,1024,32,1.4588942527770996
newinstances/instance0_11857.npz,1,1024,16,0.4117295742034912
newinstances/instance0_11858.npz,1,1024,128,1.5854136943817139
newinstances/instance0_11859.npz,1,1024,64,1.352825403213501
newinstances/instance0_11860.npz,1,1024,32,0.8664999008178711
newinstances/instance0_11861.npz,1,1024,16,0.3732643127441406
newinstances/instance0_11862.npz,1,1024,8,0.3547682762145996
newinstances/instance0_11863.npz,1,1024,128,0.3445169925689697
newinstances/instance0_11864.npz,1,1024,64,0.7428576946258545
newinstances/instance0_11865.npz,1,1024,32,0.5616681575775146
