ID,startval,alpha,N,Delta,time
228,1,0.001,1024,128,0.07332
229,1,0.001,1024,64,0.03983
230,1,0.001,1024,32,0.04441
231,1,0.001,1024,16,0.03436
232,1,0.001,1024,8,0.03076
233,1,0.001,1024,128,0.07234
234,1,0.001,1024,64,0.04014
235,1,0.001,1024,32,0.04416
236,1,0.001,1024,128,0.07064
237,1,0.001,1024,64,0.03857
238,1,0.001,1024,128,0.06759
239,1,0.001,1024,64,0.03834
240,1,0.001,1024,32,0.04396
241,1,0.001,1024,16,0.03414
242,1,0.001,1024,128,0.06946
243,1,0.001,1024,64,0.03856
244,1,0.001,1024,32,0.04427
245,1,0.001,1024,16,0.03398
246,1,0.001,1024,8,0.0308
247,1,0.001,1024,128,0.06823
248,1,0.001,1024,64,0.03859
249,1,0.001,1024,32,0.04362
250,1,0.001,1024,16,0.03396
251,1,0.001,1024,128,0.06857
252,1,0.001,1024,64,0.03987
253,1,0.001,1024,32,0.04457
254,1,0.001,1024,16,0.03429
255,1,0.001,1024,8,0.03078
256,1,0.001,1024,128,0.06734
257,1,0.001,1024,64,0.03817
258,1,0.001,1024,32,0.04397
259,1,0.001,1024,16,0.03367
260,1,0.001,1024,128,0.06676
261,1,0.001,1024,64,0.0384
262,1,0.001,1024,32,0.04448
263,1,0.001,1024,16,0.03391
264,1,0.001,1024,128,0.06504
265,1,0.001,1024,64,0.03727
266,1,0.001,1024,32,0.0434
267,1,0.001,1024,16,0.03414
268,1,0.001,1024,8,0.03065
269,1,0.001,1024,128,0.06533
270,1,0.001,1024,64,0.0374
271,1,0.001,1024,32,0.04376
272,1,0.001,1024,16,0.03408
273,1,0.001,1024,8,0.03071
274,1,0.001,1024,128,0.06498
275,1,0.001,1024,64,0.03755
276,1,0.001,1024,32,0.04435
277,1,0.001,1024,16,0.03435
278,1,0.001,1024,8,0.03093
279,1,0.001,1024,128,0.06535
280,1,0.001,1024,64,0.03704
281,1,0.001,1024,32,0.04348
282,1,0.001,1024,16,0.03408
283,1,0.001,1024,128,0.066
284,1,0.001,1024,64,0.0377
285,1,0.001,1024,32,0.04527
286,1,0.001,1024,16,0.03494
287,1,0.001,1024,8,0.03117
288,1,0.001,1024,128,0.06228
289,1,0.001,1024,64,0.03638
290,1,0.001,1024,32,0.04355
291,1,0.001,1024,16,0.03385
292,1,0.001,1024,8,0.0307
293,1,0.001,1024,128,0.06452
294,1,0.001,1024,64,0.03698
295,1,0.001,1024,32,0.04353
296,1,0.001,1024,16,0.03416
297,1,0.001,1024,8,0.03064
298,1,0.001,1024,4,0.02998
299,1,0.001,1024,128,0.06288
300,1,0.001,1024,64,0.03683
301,1,0.001,1024,32,0.04358
302,1,0.001,1024,16,0.03432
303,1,0.001,1024,8,0.03085
304,1,0.001,1024,128,0.06855
305,1,0.001,1024,64,0.03702
306,1,0.001,1024,32,0.04391
307,1,0.001,1024,16,0.03412
308,1,0.001,1024,8,0.03073
309,1,0.001,1024,128,0.06615
310,1,0.001,1024,64,0.03632
311,1,0.001,1024,32,0.04316
312,1,0.001,1024,16,0.03401
313,1,0.001,1024,8,0.0307
314,1,0.001,1024,4,0.02987
315,1,0.001,1024,128,0.06859
316,1,0.001,1024,64,0.03813
317,1,0.001,1024,32,0.04353
318,1,0.001,1024,16,0.03435
319,1,0.001,1024,8,0.03089
320,1,0.001,1024,4,0.03012
321,1,0.001,1024,128,0.07036
322,1,0.001,1024,64,0.03724
323,1,0.001,1024,32,0.04645
324,1,0.001,1024,16,0.03428
325,1,0.001,1024,8,0.03057
326,1,0.001,1024,4,0.0304
327,1,0.001,1024,128,0.06685
328,1,0.001,1024,64,0.03731
329,1,0.001,1024,32,0.04296
330,1,0.001,1024,16,0.03389
331,1,0.001,1024,8,0.03088
332,1,0.001,1024,128,0.06893
333,1,0.001,1024,64,0.07602
334,1,0.001,1024,32,0.04397
335,1,0.001,1024,16,0.03463
336,1,0.001,1024,8,0.03108
337,1,0.001,1024,128,0.06685
338,1,0.001,1024,64,0.07418
339,1,0.001,1024,32,0.04395
340,1,0.001,1024,16,0.03417
341,1,0.001,1024,8,0.0312
342,1,0.001,1024,128,0.06683
343,1,0.001,1024,64,0.07552
344,1,0.001,1024,32,0.0447
345,1,0.001,1024,16,0.03443
346,1,0.001,1024,8,0.03083
347,1,0.001,1024,4,0.03027
348,1,0.001,1024,128,0.0656
349,1,0.001,1024,64,0.07433
350,1,0.001,1024,32,0.04379
351,1,0.001,1024,16,0.03416
352,1,0.001,1024,8,0.03106
353,1,0.001,1024,4,0.03016
354,1,0.001,1024,128,0.06654
355,1,0.001,1024,64,0.07517
356,1,0.001,1024,32,0.04455
357,1,0.001,1024,16,0.0343
358,1,0.001,1024,8,0.03093
359,1,0.001,1024,4,0.03067
360,1,0.001,1024,128,0.06584
361,1,0.001,1024,64,0.07433
362,1,0.001,1024,32,0.04373
363,1,0.001,1024,16,0.03433
364,1,0.001,1024,8,0.03094
365,1,0.001,1024,4,0.03039
366,1,0.001,1024,2,0.02986
367,1,0.001,1024,128,0.06688
368,1,0.001,1024,64,0.07443
369,1,0.001,1024,32,0.04279
370,1,1.00E-07,256,8,0.00722
371,1,0.001,1024,16,0.03404
372,1,0.001,1024,8,0.0308
373,1,0.001,1024,4,0.02981
374,1,0.001,1024,128,0.06771
375,1,0.001,1024,64,0.07447
376,1,0.001,1024,32,0.0441
377,1,0.001,1024,16,0.03398
378,1,0.001,1024,8,0.03057
379,1,0.001,1024,4,0.03008
380,1,0.001,1024,128,0.06585
381,1,0.001,1024,64,0.07309
382,1,0.001,1024,32,0.04283
383,1,0.001,1024,16,0.03449
384,1,0.001,1024,8,0.03099
385,1,0.001,1024,4,0.02996
386,1,0.001,1024,128,0.06698
387,1,0.001,1024,64,0.07497
388,1,0.001,1024,32,0.04376
389,1,0.001,1024,16,0.03402
390,1,0.001,1024,8,0.0307
391,1,0.001,1024,4,0.02985
392,1,0.001,1024,128,0.06539
393,1,0.001,1024,64,0.07306
394,1,0.001,1024,32,0.04267
395,1,0.001,1024,16,0.03433
396,1,0.001,1024,8,0.03123
397,1,0.001,1024,4,0.0301
398,1,0.001,1024,128,0.06622
399,1,0.001,1024,64,0.07458
400,1,0.001,1024,32,0.04401
401,1,0.001,1024,16,0.03427
402,1,0.001,1024,8,0.03084
403,1,0.001,1024,4,0.03055
404,1,0.001,1024,2,0.02974
405,1,0.001,1024,128,0.06642
406,1,0.001,1024,64,0.07425
407,1,0.001,1024,32,0.04404
408,1,0.001,1024,16,0.0343
409,1,0.001,1024,8,0.03079
410,1,0.001,1024,4,0.03003
411,1,0.001,1024,2,0.03003
412,1,0.001,1024,128,0.06631
413,1,0.001,1024,64,0.07407
414,1,0.001,1024,32,0.04361
415,1,0.001,1024,16,0.03404
416,1,0.001,1024,8,0.03083
417,1,0.001,1024,4,0.03035
418,1,0.001,1024,2,0.02944
419,1,0.001,1024,128,0.06545
420,1,0.001,1024,64,0.07351
421,1,0.001,1024,32,0.04347
422,1,0.001,1024,16,0.03448
423,1,0.001,1024,8,0.03107
424,1,0.001,1024,4,0.03045
425,1,0.001,1024,128,0.06747
426,1,0.001,1024,64,0.07555
427,1,0.001,1024,32,0.04319
428,1,0.001,1024,16,0.0343
429,1,0.001,1024,8,0.03086
430,1,0.001,1024,4,0.02982
431,1,0.001,1024,128,0.06442
432,1,0.001,1024,64,0.07299
433,1,0.001,1024,32,0.04356
434,1,0.001,1024,16,0.03434
435,1,0.001,1024,8,0.03091
436,1,0.001,1024,4,0.03
437,1,0.001,1024,2,0.02984
438,1,0.001,1024,128,0.06518
439,1,0.001,1024,64,0.07295
440,1,0.001,1024,32,0.04356
441,1,0.001,1024,16,0.03408
442,1,0.001,1024,8,0.03089
443,1,0.001,1024,4,0.03063
444,1,0.001,1024,2,0.02981
445,1,0.001,1024,1,0.02954
446,1,0.001,1024,128,0.0658
447,1,0.001,1024,64,0.07383
448,1,0.001,1024,32,0.04388
449,1,0.001,1024,16,0.0341
450,1,0.001,1024,8,0.03095
451,1,0.001,1024,4,0.03018
452,1,0.001,1024,2,0.02942
453,1,0.001,1024,128,0.06511
454,1,0.001,1024,64,0.07416
455,1,0.001,1024,32,0.04382
456,1,0.001,1024,16,0.03472
457,1,0.001,1024,8,0.03095
458,1,0.001,1024,4,0.03028
459,1,0.001,1024,2,0.02995
460,1,0.001,1024,128,0.06502
461,1,0.001,1024,64,0.07405
462,1,0.001,1024,32,0.04384
463,1,0.001,1024,16,0.03428
464,1,0.001,1024,8,0.03122
465,1,0.001,1024,4,0.03037
466,1,0.001,1024,2,0.0297
467,1,0.001,1024,128,0.06434
468,1,0.001,1024,64,0.07282
469,1,0.001,1024,32,0.04324
470,1,0.001,1024,16,0.03378
471,1,0.001,1024,8,0.0313
472,1,0.001,1024,4,0.03015
473,1,0.001,1024,2,0.02947
474,1,0.001,1024,128,0.06411
475,1,0.001,1024,64,0.07249
476,1,0.001,1024,32,0.04299
477,1,0.001,1024,16,0.03403
478,1,0.001,1024,8,0.03067
479,1,0.001,1024,4,0.03006
480,1,0.001,1024,2,0.02949
481,1,0.001,1024,128,0.06471
482,1,0.001,1024,64,0.07285
483,1,0.001,1024,32,0.04311
484,1,0.001,1024,16,0.03402
485,1,0.001,1024,8,0.03068
486,1,0.001,1024,4,0.03014
487,1,0.001,1024,2,0.02974
488,1,0.001,1024,128,0.06414
489,1,0.001,1024,64,0.07312
490,1,0.001,1024,32,0.04347
491,1,0.001,1024,16,0.03422
492,1,0.001,1024,8,0.0309
493,1,0.001,1024,4,0.03033
494,1,0.001,1024,2,0.02956
495,1,0.001,1024,128,0.06482
496,1,0.001,1024,64,0.07345
497,1,0.001,1024,32,0.04379
498,1,0.001,1024,16,0.03403
499,1,0.001,1024,8,0.0312
500,1,0.001,1024,4,0.03037
501,1,0.001,1024,2,0.02984
502,1,0.001,1024,1,0.02964
503,1,0.001,1024,128,0.06458
504,1,0.001,1024,64,0.07348
505,1,0.001,1024,32,0.04374
506,1,0.001,1024,16,0.03386
507,1,0.001,1024,8,0.03097
508,1,0.001,1024,4,0.03121
509,1,0.001,1024,2,0.03036
510,1,0.001,1024,1,0.03054
511,1,0.001,1024,128,0.06672
512,1,0.001,1024,64,0.07424
513,1,0.001,1024,32,0.04344
514,1,0.001,1024,16,0.0342
515,1,0.001,1024,8,0.0309
516,1,0.001,1024,4,0.03031
517,1,0.001,1024,2,0.02976
518,1,0.001,1024,1,0.02954
519,1,0.001,1024,128,0.06448
520,1,0.001,1024,64,0.07282
521,1,0.001,1024,32,0.04294
522,1,0.001,1024,16,0.03419
523,1,0.001,1024,8,0.03079
524,1,0.001,1024,4,0.03024
525,1,0.001,1024,2,0.02966
526,1,0.001,1024,128,0.06486
527,1,0.001,1024,64,0.07352
528,1,0.001,1024,32,0.04316
529,1,0.001,1024,16,0.03392
530,1,0.001,1024,8,0.03085
531,1,0.001,1024,4,0.03001
532,1,0.001,1024,2,0.02992
533,1,0.001,1024,128,0.06383
534,1,0.001,1024,64,0.07379
535,1,0.001,1024,32,0.04324
536,1,0.001,1024,16,0.03376
537,1,0.001,1024,8,0.03072
538,1,0.001,1024,4,0.02993
539,1,0.001,1024,2,0.0298
540,1,0.001,1024,128,0.06504
541,1,0.001,1024,64,0.07332
542,1,0.001,1024,32,0.04335
543,1,0.001,1024,16,0.0339
544,1,0.001,1024,8,0.03125
545,1,0.001,1024,4,0.03003
546,1,0.001,1024,2,0.02963
547,1,0.001,1024,128,0.06358
548,1,0.001,1024,64,0.0729
549,1,0.001,1024,32,0.04374
550,1,0.001,1024,16,0.03398
551,1,0.001,1024,8,0.03118
552,1,0.001,1024,4,0.03057
553,1,0.001,1024,2,0.02964
554,1,0.001,1024,1,0.02993
555,1,0.001,1024,128,0.06609
556,1,0.001,1024,64,0.07514
557,1,0.001,1024,32,0.04398
558,1,0.001,1024,16,0.03443
559,1,0.001,1024,8,0.03115
560,1,0.001,1024,4,0.0305
561,1,0.001,1024,2,0.02991
562,1,0.001,1024,1,0.02976
563,1,0.001,1024,0,0.02967
564,1,1.00E-07,2048,256,0.09341
565,1,1.00E-07,2048,128,0.08034
566,1,1.00E-07,2048,256,0.09932
567,1,1.00E-07,2048,128,0.08132
568,1,1.00E-07,2048,256,0.10198
569,1,1.00E-07,2048,128,0.08049
570,1,1.00E-07,2048,64,0.07741
571,1,1.00E-07,2048,32,0.06857
572,1,1.00E-07,2048,16,0.06334
573,1,1.00E-07,2048,256,0.09814
574,1,1.00E-07,2048,128,0.08443
575,1,1.00E-07,2048,64,0.08011
576,1,1.00E-07,2048,32,0.06546
577,1,1.00E-07,2048,16,0.06383
578,1,1.00E-07,2048,8,0.06452
579,1,1.00E-07,2048,4,0.06021
580,1,1.00E-07,2048,256,0.10913
581,1,1.00E-07,2048,128,0.09338
582,1,1.00E-07,2048,64,0.07372
583,1,1.00E-07,2048,32,0.06757
584,1,1.00E-07,2048,16,0.06617
585,1,1.00E-07,2048,8,0.06009
586,1,1.00E-07,2048,4,0.05926
587,1,1.00E-07,2048,256,0.10576
588,1,1.00E-07,2048,128,0.08465
589,1,1.00E-07,2048,64,0.0757
590,1,1.00E-07,2048,32,0.06385
591,1,1.00E-07,2048,16,0.06352
592,1,1.00E-07,2048,8,0.06444
593,1,1.00E-07,2048,4,0.05984
594,1,1.00E-07,2048,256,0.09776
595,1,1.00E-07,2048,128,0.08263
596,1,1.00E-07,2048,64,0.07431
597,1,1.00E-07,2048,32,0.06879
598,1,1.00E-07,2048,16,0.06569
599,1,1.00E-07,2048,8,0.06016
600,1,1.00E-07,2048,4,0.05937
601,1,1.00E-07,2048,2,0.06057
602,1,1.00E-07,2048,256,0.10266
603,1,1.00E-07,2048,128,0.08393
604,1,1.00E-07,2048,64,0.07352
605,1,1.00E-07,2048,32,0.06799
606,1,1.00E-07,2048,16,0.06578
607,1,1.00E-07,2048,8,0.0606
608,1,1.00E-07,2048,4,0.05935
609,1,1.00E-07,2048,2,0.05996
610,1,1.00E-07,2048,256,0.09982
611,1,1.00E-07,2048,128,0.08118
612,1,1.00E-07,2048,64,0.07609
613,1,1.00E-07,2048,32,0.06798
614,1,1.00E-07,2048,16,0.06552
615,1,1.00E-07,2048,8,0.06086
616,1,1.00E-07,2048,4,0.05921
617,1,1.00E-07,2048,256,0.09804
618,1,1.00E-07,2048,128,0.08318
619,1,1.00E-07,2048,64,0.07397
620,1,1.00E-07,2048,32,0.06513
621,1,1.00E-07,2048,16,0.06181
622,1,1.00E-07,2048,8,0.06125
623,1,1.00E-07,2048,4,0.06306
624,1,1.00E-07,2048,2,0.0621
625,1,1.00E-07,2048,256,0.10248
626,1,1.00E-07,2048,128,0.08983
627,1,1.00E-07,2048,64,0.08368
628,1,1.00E-07,2048,32,0.06698
629,1,1.00E-07,2048,16,0.06404
630,1,1.00E-07,2048,8,0.06467
631,1,1.00E-07,2048,4,0.05973
632,1,1.00E-07,2048,2,0.0596
633,1,1.00E-07,2048,256,0.09475
634,1,1.00E-07,2048,128,0.08041
635,1,1.00E-07,2048,64,0.08018
636,1,1.00E-07,2048,32,0.06575
637,1,1.00E-07,2048,16,0.06393
638,1,1.00E-07,2048,8,0.06463
639,1,1.00E-07,2048,4,0.05975
640,1,1.00E-07,2048,2,0.05972
641,1,1.00E-07,2048,256,0.10248
642,1,1.00E-07,2048,128,0.08119
643,1,1.00E-07,2048,64,0.08031
644,1,1.00E-07,2048,32,0.06693
645,1,1.00E-07,2048,16,0.06355
646,1,1.00E-07,2048,8,0.06507
647,1,1.00E-07,2048,4,0.05976
648,1,1.00E-07,2048,2,0.05942
649,1,1.00E-07,2048,1,0.06028
650,1,1.00E-07,2048,256,0.09832
651,1,1.00E-07,2048,128,0.09756
652,1,1.00E-07,2048,64,0.07363
653,1,1.00E-07,2048,32,0.0682
654,1,1.00E-07,2048,16,0.06601
655,1,1.00E-07,2048,8,0.06106
656,1,1.00E-07,2048,4,0.0599
657,1,1.00E-07,2048,2,0.05983
658,1,1.00E-07,2048,256,0.10048
659,1,1.00E-07,2048,128,0.09459
