N,alpha,Kernel,Slip0,SlipBFGS,SlipScarp,SlipSur,Scarp,Sur,Bfgs
4096,0.001,1,11.6618287330224,2.77061675395116,2.76457348335135,2.77120369214516,3.71623899594299,4.57837837567603,2.7331693635116
8192,1E-07,1,2.73574546452938,2.73423169093633,2.73337347448199,2.7335387249442,2.73339806251876,2.73355051761322,2.73316869603845
8192,1E-06,1,2.75923790875141,2.73623320145387,2.73491521142975,2.73667418120974,2.73521246251875,2.73677251761322,2.73316869603845
8192,1E-05,1,3.12848396865718,2.73683293408017,2.74941548584783,2.73472276880839,2.75335646251876,2.76899251761322,2.73316869603845
8192,0.0001,1,9.21470654720412,2.74888690572123,2.74899813973395,2.73803140917962,2.93479646251876,3.09119251761322,2.73316869603845
8192,0.001,1,16.8321708131945,2.77048690572123,2.76458098837539,2.79040320380977,4.74919646251876,6.31319251761322,2.73316869603845
512,1E-07,2,3.13184136320213,3.07868453309121,3.08002351126635,3.07875200892735,3.08289402283361,3.10153580287209,3.07741314955269
512,1E-06,2,3.10635486212971,3.07874393309121,3.08107398221603,3.07854559950501,3.08300382283361,3.10172300287209,3.07741314955269
512,1E-05,2,3.11372075379644,3.08262579063656,3.08334929471481,3.08045075688513,3.08410182283361,3.10359500287209,3.07741314955269
512,0.0001,2,3.31168528924359,3.08488842613354,3.08901223063241,3.0878145501321,3.09508182283361,3.12231500287209,3.07741314955269
512,0.001,2,7.27870472092718,3.13158660455839,3.13163005178959,3.13167182974277,3.20488182283361,3.30951500287209,3.07741314955269
1024,1E-07,2,3.09526408152848,3.07871381466085,3.07777548658242,3.07807051267022,3.07924062952143,3.079536927756,3.07738434314489
1024,1E-06,2,3.10249459872344,3.07875082555913,3.07903154772367,3.07839631267022,3.07942782952143,3.079878927756,3.07738434314489
1024,1E-05,2,3.12639902851226,3.07930442842044,3.08077754772367,3.08165431267022,3.08129982952143,3.083298927756,3.07738434314489
1024,0.0001,2,3.95561065988775,3.08481855793923,3.08566943558031,3.08575733748139,3.10001982952143,3.117498927756,3.07738434314489
1024,0.001,2,9.33402808185307,3.12261112627722,3.13331622500428,3.12474213583151,3.28721982952143,3.459498927756,3.07738434314489
2048,1E-07,2,3.0954851807304,3.07828923474939,3.07751000434057,3.07755476444287,3.07816702211896,3.07781197379685,3.07738595126982
2048,1E-06,2,3.09544678522367,3.07825187217752,3.07784480434057,3.07817083991498,3.07851082211896,3.07845457379685,3.07738595126982
2048,1E-05,2,3.14198044071338,3.07882787217752,3.08072627716579,3.0843308376036,3.08194882211896,3.08488057379685,3.07738595126982
2048,0.0001,2,4.29847175184089,3.08458787217752,3.0844467777006,3.08534252726432,3.11632882211896,3.14914057379685,3.07738595126982
2048,0.001,2,13.3243117401321,3.13101699335238,3.1223669121766,3.12989406279593,3.46012882211896,3.79174057379685,3.07738595126982
4096,1E-07,2,3.09676635217409,3.07815291338978,3.0775712823406,3.07760902215414,3.0781507068218,3.07806561996588,3.07737697727862
4096,1E-06,2,3.1081553115496,3.07820871338978,3.07801091601441,3.07882222215414,3.0788023068218,3.07931121996588,3.07737697727862
4096,1E-05,2,3.23925831897326,3.07876671338978,3.08147497890093,3.07882412141045,3.0853183068218,3.09176721996588,3.07737697727862
4096,0.0001,2,6.91384086476636,3.08434671338978,3.08395763480301,3.08392550456876,3.1504783068218,3.21632721996588,3.07737697727862
4096,0.001,2,13.3243029236946,3.12464919535587,3.13094923031666,3.12933213265586,3.8020783068218,4.46192721996588,3.07737697727862
8192,1E-07,2,3.08366061393579,3.07798381181164,3.07752467754148,3.07767645153563,3.0775421635852,3.07767645153563,3.07737937944262
8192,1E-06,2,3.14049830860514,3.07804141181164,3.07860402684977,3.07826433362638,3.0788147635852,3.08010825153563,3.07737937944262
8192,1E-05,2,3.95153435818054,3.07913195745279,3.07865399544391,3.07861866960926,3.0915407635852,3.10442625153563,3.07737937944262
8192,0.0001,2,9.32930470997957,3.08399195745279,3.08393797120736,3.0853583750446,3.2188007635852,3.34760625153563,3.07737937944262
8192,0.001,2,18.6414002915425,3.130697942474,3.13073797120736,3.12341501217713,4.4914007635852,5.77940625153563,3.07737937944262
512,1E-07,3,2.29144109698071,2.25104767410502,2.25099668408656,2.25076061894028,2.25425187044782,2.26246948741736,2.24972322230501
512,1E-06,3,2.29126518991616,2.25333566191465,2.25084348030775,2.25095231894028,2.25436617044782,2.26270618741736,2.24972322230501
512,1E-05,3,2.29337555193597,2.25404794952599,2.25187848030775,2.25286931894028,2.25550917044782,2.26507318741736,2.24972322230501
512,0.0001,3,2.35689521186129,2.25800917760822,2.25904710581288,2.26532452174102,2.26693917044782,2.28874318741736,2.24972322230501
512,0.001,3,8.18428312484452,2.29850917760822,2.30046567782283,2.29482003062506,2.38123917044782,2.52544318741736,2.24972322230501
1024,1E-07,3,2.27253320252779,2.25108243599258,2.24996529238405,2.25018004893034,2.25058519765111,2.25112913790909,2.24972311860981
1024,1E-06,3,2.27744999443787,2.25366445618908,2.25014799238405,2.25055624893034,2.25077689765111,2.25152153790909,2.24972311860981
1024,1E-05,3,2.28112179506415,2.26091088545394,2.25184715561655,2.25431824893034,2.25269389765111,2.25544553790909,2.24972311860981
1024,0.0001,3,2.49697705617725,2.26577088545394,2.25737999060362,2.25773177465439,2.27186389765111,2.29468553790909,2.24972311860981
1024,0.001,3,8.95086774279284,2.29845816737956,2.29898435181886,2.29260522348277,2.46356389765111,2.68708553790909,2.24972311860981
