Name,alpha,N,Delta,time
newinstances_updated/instance12/instance12_17372_4096_3.npz,9.999999999999999e-05,4096,512,1117.9592146873474
newinstances_updated/instance12/instance12_17346_4096_3.npz,9.999999999999999e-05,4096,512,47.700499534606934
newinstances_updated/instance12/instance12_17231_4096_3.npz,9.999999999999999e-05,4096,512,158.9813220500946
newinstances_updated/instance12/instance12_17446_4096_3.npz,9.999999999999999e-05,4096,512,244.97762894630432
newinstances_updated/instance12/instance12_17464_4096_3.npz,9.999999999999999e-05,4096,512,610.684522151947
newinstances_updated/instance12/instance12_17518_4096_3.npz,9.999999999999999e-05,4096,512,206.54619431495667
newinstances_updated/instance12/instance12_17428_4096_3.npz,9.999999999999999e-05,4096,512,321.5996677875519
newinstances_updated/instance12/instance12_17482_4096_3.npz,9.999999999999999e-05,4096,512,89.37047958374023
newinstances_updated/instance12/instance12_17536_4096_3.npz,9.999999999999999e-05,4096,512,175.5182008743286
newinstances_updated/instance12/instance12_17554_4096_3.npz,9.999999999999999e-05,4096,512,66.04011368751526
newinstances_updated/instance12/instance12_17500_4096_3.npz,9.999999999999999e-05,4096,512,351.09924578666687
newinstances_updated/instance12/instance12_17410_4096_3.npz,9.999999999999999e-05,4096,512,450.58062267303467
newinstances_updated/instance12/instance12_17572_4096_3.npz,9.999999999999999e-05,4096,512,107.86637496948242
newinstances_updated/instance12/instance12_17189_4096_3.npz,9.999999999999999e-05,4096,512,247.67638993263245
newinstances_updated/instance12/instance12_17259_4096_3.npz,9.999999999999999e-05,4096,512,141.48052263259888
newinstances_updated/instance12/instance12_17283_4096_3.npz,9.999999999999999e-05,4096,512,87.57129764556885
newinstances_updated/instance11/instance11_10192_4096_2.npz,9.999999999999999e-06,4096,512,79.19220471382141
newinstances_updated/instance12/instance12_17307_4096_3.npz,9.999999999999999e-05,4096,512,108.84324550628662
newinstances_updated/instance12/instance12_17315_4096_3.npz,9.999999999999999e-05,4096,512,65.2205798625946
