N,alpha,Kernel,Slip0,SlipBFGS,SlipScarp,SlipSur,Scarp,Sur,BFGS
4096,1.00E-05,1,104.005712509156,119.07900595665,23.2310075759888,230.387234449387,3.714,0,18.4535694122314
4096,0.0001,1,109.813891410827,91.5254936218262,101.685248374939,67.5700688362122,3.714,0,18.4535694122314
4096,0.001,1,14.824168920517,93.275942325592,53.0630979537964,114.660264730453,3.714,0,18.4535694122314
8192,1.00E-07,1,1822.6926021576,207.539925575256,13.0856294631958,14.6887395381927,7.437,0,20.6766421794891
8192,1.00E-06,1,914.260290861122,249.947720527649,383.786867856979,277.230371952057,7.437,0,20.6766421794891
8192,1.00E-05,1,685.036134481439,350.591315984726,5.79907608032227,558.457446575165,7.437,0,20.6766421794891
8192,0.0001,1,9.97137141226767,948.669754266739,512.438901662827,457.21748995781,7.437,0,20.6766421794891
8192,0.001,1,53.6210525035958,965.7171022892,341.794332742691,1226.23636555672,7.437,0,20.6766421794891
512,1.00E-07,2,10.2396974563599,1.33615493774414,2.35196328163147,1.76961517333984,0.483,0,14.3867905139923
512,1.00E-06,2,14.6119723320007,1.3097083568573,1.98594999313355,2.75180506706238,0.483,0,14.3867905139923
512,1.00E-05,2,14.6045846939087,0.570663452148438,1.1003110408783,2.24966740608215,0.483,0,14.3867905139923
512,0.0001,2,10.2988815307617,2.19489216804504,2.64453291893005,2.82278800010681,0.483,0,14.3867905139923
512,0.001,2,4.4133973121643,2.75509858131409,4.4773645401001,4.50934529304504,0.483,0,14.3867905139923
1024,1.00E-07,2,37.6600947380066,3.10414552688599,3.75451350212097,1.79448843002319,0.764,0,13.4750530719757
1024,1.00E-06,2,17.0178263187408,4.27163314819336,1.79988431930542,1.7460789680481,0.764,0,13.4750530719757
1024,1.00E-05,2,19.914824962616,4.08012413978577,1.85040497779846,1.7654230594635,0.764,0,13.4750530719757
1024,0.0001,2,15.7459864616394,4.22163200378418,4.6428542137146,13.0203795433044,0.764,0,13.4750530719757
1024,0.001,2,6.21161651611331,8.88232731819153,7.02615284919739,10.0918409824371,0.764,0,13.4750530719757
2048,1.00E-07,2,82.752863407135,5.72765398025513,1.89836263656616,3.11370277404785,1.422,0,12.420422077179
2048,1.00E-06,2,86.348927259445,10.6759872436523,1.93944239616394,4.45409178733826,1.422,0,12.420422077179
2048,1.00E-05,2,53.625968694687,11.3428428173065,14.7548043727875,5.60425281524658,1.422,0,12.420422077179
2048,0.0001,2,53.906819105148,12.9069275856018,20.5406694412231,18.3727731704712,1.422,0,12.420422077179
2048,0.001,2,4.26267957687401,23.137540102005,21.8539221286774,37.8752241134644,1.422,0,12.420422077179
4096,1.00E-07,2,392.722876787186,46.848616361618,6.39507961273193,10.1167724132538,3.414,0,18.2825615406036
4096,1.00E-06,2,146.714651107788,47.9863743782043,19.3992114067078,9.995285987854,3.414,0,18.2825615406036
4096,1.00E-05,2,159.811958074569,52.6693060398102,85.5304024219513,151.043680429459,3.414,0,18.2825615406036
4096,0.0001,2,62.102729320527,61.1826968193054,94.6574392318726,47.3899974822998,3.414,0,18.2825615406036
4096,0.001,2,9.04945302009492,76.5329003334045,100.975772857666,129.736609935761,3.414,0,18.2825615406036
